Date,qPCR CT (WPV1)
20130311,31.2
20130409,26.9
20130507,28.8
20130610,27.6
20130611,26.7
20130611,27.2
20130617,25.1
20130625,27.38
20130702,25.5
20130709,28.4
20130715,27.6
20130722,28
20130722,27.9
20130730,27.8
20130805,27.4
20130805,28.2
20130813,27.9
20130813,28.1
20130820,28.1
20130820,28.6
20130826,25.7
20130826,25.9
20130910,31
20130910,33.7
20130916,31
20130916,31.6
20130923,32.5
20130923,35.7
20131001,32.2
20131001,32.7
20131008,33
20131008,33.1
20131014,34.3
20131022,34.7
20131022,35.7
20131028,36.5
20131028,38.7
20131105,37.6
20131105,60
20131114,41.1
20131119,60
20131205,60
20131212,38.5
20131212,36.8
20131212,60
20131212,60
20131218,41.2
20131218,60
20131225,38.6
20131225,60
20131231,60
